carpark_number,longitude,latitude,nbus_500,nbus_100,school_500,mrt_500
HE12,103.818650624062,1.28821002313219,22,3,1,1
HLM,103.845519414776,1.28485223539479,19,1,0,2
RHM,103.818577605194,1.286463927483,20,0,1,1
BM29,103.8170992126,1.28363470609251,16,2,2,0
Q81,103.793164320357,1.3075367428679,13,2,0,1
C20,103.765261746619,1.31334782082767,15,0,3,1
FR3M,103.806210586409,1.3166948314211,6,1,1,1
C32,103.759081213337,1.3086255588801,10,0,1,0
C6,103.767691165502,1.31448811391311,16,0,1,1
TG2,103.737621413525,1.32156339469995,12,1,0,0
BP1,103.824870046386,1.27279494600191,18,1,0,0
TG1,103.737634509395,1.32331299286462,13,0,0,0
TGM2,103.738294454968,1.32214501861335,12,0,0,0
TE14,103.828854664875,1.27698058237175,11,0,0,0
BM3,103.811527769469,1.28770776626902,18,2,2,1
BM9,103.814358018406,1.28909799857285,26,2,2,1
HG44,103.886329705932,1.37364879043448,18,2,5,0
HG64,103.886297641285,1.37434125261485,19,0,4,0
PM27,103.946595969692,1.37396018889779,17,0,1,1
PM28,103.947766006105,1.37470010927146,16,0,1,1
TM36,103.939073297793,1.35716298585214,11,0,1,0
TM37,103.938607238244,1.35617684383887,10,2,1,0
T50,103.931000895113,1.3507224444833,22,2,2,0
T51,103.931687156743,1.34871443211385,18,0,2,0
TM43,103.952234710171,1.35338717764057,16,1,3,0
T15,103.952761578793,1.35320756420394,16,2,3,0
T16,103.952312054475,1.35255005071892,18,0,3,0
T17,103.953268714855,1.35198364636497,15,0,4,1
T18,103.953945676368,1.35313741716376,16,1,3,0
B9,103.933815179244,1.33017270858265,16,1,4,0
B10,103.93370774409,1.32902833089494,17,0,2,0
B14,103.931445094945,1.32915909292624,20,2,1,0
WCB,103.851937756299,1.29880829368048,25,0,1,2
ACB,103.854118049931,1.30106327208749,26,1,1,1
CY,103.853664871383,1.30062602811305,27,0,1,1
AM46,103.853396384416,1.3721783233234,20,1,3,0
A12,103.838675313237,1.36850982748189,11,0,3,0
BE45,103.843673799586,1.35630834366272,10,0,1,0
BE39,103.841971337628,1.35919640181431,16,2,1,0
BE40,103.842640151363,1.35731117764231,10,0,1,0
CR29,103.85679325982,1.30578378262145,12,0,1,0
KLM,103.856833606308,1.30616337846563,12,1,1,0
SE34,103.874307227947,1.37394108542823,19,0,1,0
KB7,103.870478363881,1.32158578122993,10,1,0,0
SE31,103.873671906954,1.37151197087876,20,1,2,0
J56,103.739311091351,1.33489264711451,17,2,1,0
J57,103.739119880197,1.33397611726272,15,2,1,0
J57L,103.739858001114,1.33446759200437,17,1,1,1
J33,103.717879866612,1.34577448968529,16,0,2,1
J34,103.720085745794,1.34706766327592,16,0,3,1
BL8,103.713390916368,1.34542513353749,22,0,1,0
J36,103.715456444507,1.35217192032422,11,0,1,0
J54,103.724509948021,1.3499265714395,12,1,5,0
J55,103.724290893933,1.34863731462556,15,0,5,0
J43,103.725268522775,1.34792485443565,15,0,4,0
J46,103.719058365859,1.34975413727721,17,2,4,0
KB1,103.868900292234,1.32357360389608,12,0,1,0
GBM,103.868633675666,1.32277239055598,11,0,1,0
SE14,103.869988708089,1.35455222366029,16,0,1,1
SE50,103.868610370785,1.35390134346339,15,1,2,2
J40,103.72287839228,1.35002973222915,18,0,4,0
JM1,103.720650376783,1.34507053932752,12,0,4,1
J32,103.72047490461,1.3458066607061,14,0,4,1
A11,103.838181096851,1.36703553385711,14,0,3,0
TR1,103.861109616449,1.31973040251887,10,1,1,1
JBM,103.827125894241,1.27919665996032,10,0,0,0
TE2,103.825079973477,1.27998229678202,12,0,0,0
CR31,103.854698193613,1.30624974548364,10,0,1,2
J1,103.738098265144,1.33642972291343,18,0,2,0
J2,103.736771313524,1.33860776000044,18,0,2,0
J3,103.73548477934,1.33949483651941,14,0,2,0
T37,103.936864356333,1.34735809483409,14,0,4,0
KB3,103.869655124215,1.32082803463467,10,2,0,0
KBM,103.86912462402,1.32023928754018,10,1,1,0
J4,103.741902601017,1.33753016931853,18,0,1,0
TGM1,103.738875205557,1.32110993007039,14,0,0,0
TG3,103.73897739774,1.3206349930588,14,1,0,0
TG6,103.741092696946,1.3218251384145,18,2,0,0
TG7,103.742291000055,1.3201453629777,17,0,1,0
CR30,103.854941024047,1.30760017872999,9,0,0,1
RCM,103.855416846082,1.30715729089984,10,0,1,1
EPM,103.838908227729,1.27618443608274,18,0,0,1
TGM3,103.739328367393,1.32326132845571,14,1,0,0
KB14,103.87006187688,1.32055770503646,11,2,0,0
J41,103.722032310522,1.34828945624444,18,0,4,1
JBM2,103.82529201443,1.28015344581096,14,0,1,0
J39,103.721347485019,1.35015749885562,16,1,3,0
J52,103.724594156983,1.35143640167905,11,1,2,0
J51,103.724629513634,1.3535560740797,10,0,2,0
J53,103.726726375989,1.35074095041762,13,1,3,0
T19,103.953345884695,1.35453408562412,19,1,4,0
J49,103.718949483841,1.35345579862982,14,0,1,0
J27,103.71666938291,1.34688733579361,19,1,1,0
TB14,103.807345338019,1.28182521169611,9,1,0,1
U19,103.758322441839,1.34850285719901,16,1,1,0
U6,103.744103523173,1.3480295181731,16,0,2,0
U45,103.757898925672,1.34691849203713,16,0,2,0
BBM7,103.74369552196,1.34735532825893,14,1,3,0
BE12,103.850969793711,1.35002331703951,12,0,3,1
HG41,103.879350149724,1.37127612000394,18,0,3,0
HG43,103.884304150568,1.37211311724521,22,0,2,0
MN1,103.859200229924,1.32202947349749,10,0,2,1
MNRM,103.859430532329,1.32054021507341,11,0,2,1
MN2,103.856368420374,1.31804968875213,11,1,1,0
C7,103.770578452586,1.31484281873115,13,0,1,0
C17,103.763896569583,1.31385772949926,15,0,3,1
C20M,103.765650777195,1.31150425544153,14,0,0,0
