Address,Latitude,Longitude,Counts
Admiralty,1.440586,103.800975,43
Aljunied,1.316433,103.882906,32
Ang Mo Kio,1.369115,103.845434,87
Bakau,1.38802,103.905457,4
Bangkit,1.379346,103.773755,48
Bartley,1.342325,103.880248,16
Bayfront,1.281345,103.858948,23
Beauty World,1.342373,103.776195,44
Bedok,1.323604,103.927341,71
Bishan,1.3513,103.8492,110
Boon Keng,1.319859,103.861831,50
Boon Lay,1.314256,103.70931,62
Botanic Gardens,1.31384,103.815914,51
Braddell,1.340444,103.8468,17
Bras Basah,1.29762,103.850088,13
Buangkok,1.38105,103.892452,42
Bugis,1.300515,103.854812,93
Bukit Batok,1.359029,103.76368,38
Bukit Gombak,1.359037,103.751828,12
Bukit Panjang,1.377414,103.77195,111
Buona Vista,1.307301,103.790048,89
Caldecott,1.337659,103.839541,10
Cashew,1.369922,103.764549,15
Changi Airport,1.36442,103.991531,19
Cheng Lim,1.39644,103.893776,3
Chinatown,1.283509,103.844352,85
Chinese Garden,1.338987,103.729753,6
Choa Chu Kang,1.38398,103.746961,116
City Hall,1.293089,103.851927,35
Clarke Quay,1.290602,103.846474,16
Clementi,1.316181,103.764938,56
Commonwealth,1.302448,103.798291,25
Compassvale,1.394954,103.89874,7
Coral Edge,1.393908,103.912602,18
Cove,1.259027,103.819013,7
Dakota,1.30672,103.886921,24
Damai,1.306221,103.833195,10
Dhoby Ghaut,1.29859,103.844995,101
Dover,1.311322,103.778653,33
Downtown,1.286696,103.85351,26
Esplanade,1.289793,103.855817,16
Eunos,1.319778,103.902859,31
Expo,1.333525,103.959537,11
Fajar,1.384056,103.770697,17
Farmway,1.386364,103.930708,8
Farrer Park,1.312456,103.854821,36
Farrer Road,1.316033,103.805847,14
Fernvale,1.391935,103.876142,7
Gul Circle,1.319846,103.669422,2
HarbourFront,1.264325,103.820306,79
Haw Par Villa,1.283566,103.781643,15
Hillview,1.362128,103.767007,31
Holland Village,1.311946,103.796233,13
Hougang,1.361218,103.886253,89
Jelapang,1.384773,103.766431,31
Joo Koon,1.327751,103.67833,35
Jurong East,1.332857,103.743552,132
Kadaloor,1.399503,103.916528,16
Kallang,1.310033,103.865106,18
Kangkar,1.383795,103.902296,38
Keat Hong,1.378686,103.748947,9
Kembangan,1.321028,103.912909,16
Kent Ridge,1.283885,103.791295,59
Khatib,1.417349,103.833022,31
King Albert Park,1.334376,103.779527,42
Kovan,1.359994,103.885301,46
Kranji,1.418951,103.758055,19
Kupang,1.398215,103.881325,9
Labrador Park,1.267487,103.801682,16
Lakeside,1.344237,103.720725,29
Lavender,1.307227,103.862951,27
Layar,1.391984,103.880148,2
Little India,1.30656,103.851819,80
Lorong Chuan,1.353818,103.864158,14
MacPherson,1.331797,103.879339,29
Marina Bay,1.28364,103.860373,7
Marsiling,1.43252,103.774119,26
Marymount,1.349095,103.839145,38
Meridian,1.253245,103.819613,5
Mountbatten,1.303461,103.884592,17
Newton,1.307552,103.840377,48
Nibong,1.41176,103.900091,2
Nicoll Highway,1.302349,103.865683,6
Novena,1.320857,103.842432,43
Oasis,1.306293,103.833428,5
one-north,1.299915,103.787486,21
Orchard,1.3018,103.837797,50
Outram Park,1.283896,103.838575,74
Pasir Panjang,1.276033,103.791904,14
Pasir Ris,1.372094,103.947373,51
Paya Lebar,1.351609,103.899516,88
Pending,1.376601,103.771328,33
Petir,1.374654,103.771365,20
Phoenix,1.319774,103.898171,18
Pioneer,1.28575,103.807991,40
Potong Pasir,1.331272,103.869073,41
Promenade,1.355225,103.887663,32
Punggol,1.398446,103.907205,190
Punggol Point,1.420907,103.911875,2
Queenstown,1.294166,103.786127,20
Raffles Place,1.2841,103.851327,66
Ranggung,1.383885,103.897562,17
Redhill,1.289628,103.816762,21
Renjong,1.38667,103.890285,7
Riviera,1.316319,103.94281,6
Rochor,1.305135,103.850913,28
Rumbia,1.391295,103.905927,1
Segar,1.3122,103.874785,24
Sembawang,1.449111,103.818495,47
Sengkang,1.386812,103.891443,230
Senja,1.384179,103.760677,19
Serangoon,1.355357,103.867871,176
Simei,1.339919,103.949471,39
Sixth Avenue,1.323988,103.792018,12
Somerset,1.300592,103.838529,24
Soo Teck,1.40539,103.897233,1
South View,1.381324,103.747145,12
Stadium,1.30433,103.874338,9
Stevens,1.316145,103.827037,15
Sumang,1.407678,103.895605,1
Tai Seng,1.335918,103.887683,22
Tampines,1.349591,103.956788,82
Tan Kah Kee,1.279552,103.840467,28
Tanah Merah,1.327233,103.946541,47
Tanjong Pagar,1.276403,103.846859,39
Teck Whye,1.379304,103.75259,22
Telok Ayer,1.281123,103.847847,25
Telok Blangah,1.270689,103.809876,12
Thanggam,1.3972,103.875484,2
Tiong Bahru,1.287081,103.828554,33
Toa Payoh,1.334304,103.856327,46
Tongkang,1.290614,103.84581,7
Tuas Crescent,1.31782,103.6397,4
Tuas Link,1.340317,103.636866,3
Tuas West Road,1.33258,103.640556,3
Woodlands,1.438192,103.78896,77
Woodleigh,1.339216,103.870748,4
Yew Tee,1.397381,103.7475,28
Yio Chu Kang,1.381758,103.844801,66
Yishun,1.430368,103.835363,69
