station_id,rainfall,date,name,latitude,longitude
S104,1.0666666666666667,2018-01-08,Admiralty ,1.4439,103.7854
S106,0.5666666666666668,2018-01-08,Pulau Ubin ,1.4168,103.9673
S107,0.3333333333333333,2018-01-08,East Coast Parkway ,1.3134,103.9619
S108,0.8333333333333334,2018-01-08,Marina Barrage ,1.2799,103.8703
S109,1.3666666666666665,2018-01-08,Ang Mo Kio ,1.3764,103.8492
S11,0.10000000000000002,2018-01-08,Choa Chu Kang (West) ,1.3746,103.6938
S111,1.2333333333333334,2018-01-08,Newton ,1.3106,103.8365
S112,1.8999999999999997,2018-01-08,Lim Chu Kang ,1.4385,103.7013
S113,2.1666666666666665,2018-01-08,Marine Parade ,1.3065,103.9107
S114,0.6,2018-01-08,Choa Chu Kang (Central) ,1.3819,103.7386
S115,0.0,2018-01-08,Tuas South ,1.2938,103.6184
S116,0.3666666666666667,2018-01-08,Pasir Panjang ,1.281,103.75399999999999
S117,0.10000000000000002,2018-01-08,Jurong Island ,1.2542,103.6741
S118,1.5,2018-01-08,Dhoby Ghaut ,1.2994,103.8461
S119,1.2333333333333332,2018-01-08,Nicoll Highway ,1.3011,103.8666
S120,0.5666666666666667,2018-01-08,Botanic Garden ,1.3087,103.818
S122,1.3999999999999997,2018-01-08,Khatib ,1.4173,103.8249
S123,2.3333333333333335,2018-01-08,Whampoa ,1.3214,103.8577
S24,1.0999999999999999,2018-01-08,Changi Climate Station ,1.3678,103.9826
S33,0.76,2018-01-08,Jurong Pier ,1.3081,103.71
S40,1.0333333333333334,2018-01-08,Mandai ,1.4036,103.7898
S43,3.066666666666667,2018-01-08,Tai Seng ,1.3399,103.8878
S44,0.8666666666666667,2018-01-08,Jurong (West) ,1.3455,103.6806
S46,1.6,2018-01-08,Upper Thomson ,1.3416,103.8106
S50,1.4000000000000001,2018-01-08,Clementi ,1.3337,103.7768
S55,1.8333333333333333,2018-01-08,Buangkok ,1.3837,103.88600000000001
S60,0.13333333333333333,2018-01-08,Sentosa Island ,1.25,103.8279
S61,1.8999999999999997,2018-01-08,Chai Chee ,1.3277,103.9203
S64,0.8666666666666667,2018-01-08,Bukit Panjang ,1.3824,103.7603
S66,2.333333333333333,2018-01-08,Kranji Reservoir ,1.4387,103.7363
S69,1.7333333333333334,2018-01-08,Upper Peirce Reservoir ,1.37,103.805
S71,0.5,2018-01-08,Kent Ridge ,1.2923,103.7815
S77,0.5333333333333333,2018-01-08,Queenstown ,1.2937,103.8125
S78,1.366666666666667,2018-01-08,Tanjong Katong ,1.307,103.8907
S79,1.8,2018-01-08,Somerset (Road) ,1.3004,103.8372
S81,0.7000000000000001,2018-01-08,Punggol ,1.4029,103.9092
S82,0.3666666666666667,2018-01-08,Tuas West ,1.3247,103.6351
S84,1.2333333333333334,2018-01-08,Simei ,1.3437,103.9444
S88,1.9666666666666668,2018-01-08,Toa Payoh ,1.3415,103.8519
S89,0.4333333333333333,2018-01-08,Tuas ,1.3199,103.6616
S90,0.3666666666666667,2018-01-08,Bukit Timah ,1.3191,103.8191
S91,1.1333333333333333,2018-01-08,Yishun ,1.4301,103.8308
S92,0.20000000000000004,2018-01-08,Buona Vista ,1.2841,103.7886
S94,1.7666666666666666,2018-01-08,Pasir Ris (Central) ,1.3679,103.9489
