station_id,name,latitude,longitude
S7,Macritchie Reservoir ,1.3417,103.8338
S8,Lower Peirce Reservoir ,1.3701,103.8271
S11,Choa Chu Kang (West) ,1.3746,103.6938
S24,Changi Climate Station ,1.3678,103.9826
S29,Pasir Ris (West) ,1.3863,103.9412
S31,Kampong Bahru ,1.2745,103.828
S33,Jurong Pier ,1.3081,103.71
S35,Ulu Pandan ,1.3329,103.7556
S36,Serangoon ,1.3382,103.8657
S40,Mandai ,1.4036,103.7898
S43,Tai Seng ,1.3399,103.8878
S44,Jurong (West) ,1.3455,103.6806
S46,Upper Thomson ,1.3416,103.8106
S50,Clementi ,1.3337,103.7768
S55,Buangkok ,1.3837,103.886
S60,Sentosa Island ,1.25,103.8279
S61,Chai Chee ,1.3277,103.9203
S63,Boon Lay (West) ,1.3275,103.7042
S64,Bukit Panjang ,1.3824,103.7603
S66,Kranji Reservoir ,1.4387,103.7363
S69,Upper Peirce Reservoir ,1.37,103.805
S71,Kent Ridge ,1.2923,103.7815
S77,Queenstown ,1.2937,103.8125
S78,Tanjong Katong ,1.307,103.8907
S79,Somerset (Road) ,1.3004,103.8372
S81,Punggol ,1.4029,103.9092
S82,Tuas West ,1.3247,103.6351
S84,Simei ,1.3437,103.9444
S86,Boon Lay (East) ,1.3302,103.7205
S88,Toa Payoh ,1.3415,103.8519
S89,Tuas ,1.3199,103.6616
S90,Bukit Timah ,1.3191,103.8191
S91,Yishun ,1.4301,103.8308
S92,Buona Vista ,1.2841,103.7886
S94,Pasir Ris (Central) ,1.3679,103.9489
S101,Jurong (North) ,1.3505,103.7134
S102,Semakau Island ,1.189,103.768
S104,Admiralty ,1.4439,103.7854
S105,Admiralty West ,1.4582,103.7953
S106,Pulau Ubin ,1.4168,103.9673
S107,East Coast Parkway ,1.3134,103.9619
S108,Marina Barrage ,1.2799,103.8703
S109,Ang Mo Kio ,1.3764,103.8492
S110,Serangoon North ,1.3606,103.8697
S111,Newton ,1.3106,103.8365
S112,Lim Chu Kang ,1.4385,103.7013
S113,Marine Parade ,1.3065,103.9107
S114,Choa Chu Kang (Central) ,1.3819,103.7386
S115,Tuas South ,1.2938,103.6184
S116,Pasir Panjang ,1.281,103.754
S117,Jurong Island ,1.2542,103.6741
S118,Dhoby Ghaut ,1.2994,103.8461
S119,Nicoll Highway ,1.3011,103.8666
S120,Botanic Garden ,1.3087,103.818
S121,Choa Chu Kang (South) ,1.3729,103.7224
S122,Khatib ,1.4173,103.8249
S123,Whampoa ,1.3214,103.8577
